7_days,14_days,target
4.667142857142857,4.607857142857143,3.0
4.905714285714287,5.179285714285714,6.0
5.24,5.204285714285715,3.0
5.241428571428571,5.132857142857143,2.33
4.384285714285714,4.597142857142857,10.34
3.574285714285714,4.525714285714286,3.0
3.8599999999999994,4.072857142857143,6.67
3.431428571428571,4.049285714285714,6.33
3.0028571428571427,3.954285714285714,6.68
2.762857142857143,4.001428571428571,4.0
2.761428571428571,4.001428571428571,5.34
3.81,4.097142857142857,4.34
4.238571428571428,3.906428571428571,4.0
4.905714285714287,4.382857142857143,4.0
5.381428571428572,4.406428571428571,3.67
5.478571428571429,4.240714285714286,4.34
5.621428571428572,4.192142857142857,4.0
6.051428571428572,4.406428571428571,8.5
5.194285714285714,4.502142857142857,2.67
5.337142857142857,4.787857142857143,3.0
4.9557142857142855,4.930714285714286,4.34
4.575714285714286,4.978571428571429,1.0
4.241428571428572,4.859999999999999,8.34
4.241428571428571,4.931428571428571,4.34
4.692857142857143,5.372142857142857,6.0
4.454285714285715,4.824285714285714,3.33
4.311428571428571,4.824285714285714,2.34
4.359999999999999,4.657857142857142,2.0
3.9785714285714286,4.277142857142857,3.33
4.55,4.395714285714286,2.0
4.598571428571428,4.42,1.34
4.241428571428571,4.467142857142857,3.33
4.335714285714285,4.3950000000000005,3.66
4.241428571428572,4.276428571428571,3.0
3.9071428571428575,4.133571428571428,3.0
4.24,4.109285714285714,6.01
3.3342857142857136,3.942142857142857,4.33
2.905714285714286,3.7521428571428572,11.68
2.5242857142857145,3.382857142857143,3.01
2.5714285714285716,3.4535714285714283,5.33
2.665714285714286,3.4535714285714283,1.0
2.8085714285714287,3.357857142857143,2.0
3.191428571428571,3.7157142857142857,5.33
3.524285714285714,3.4292857142857143,3.0
5.001428571428571,3.9535714285714287,2.0
4.9557142857142855,3.7399999999999998,5.0
5.194285714285714,3.882857142857143,3.68
4.908571428571428,3.787142857142857,7.0
4.765714285714286,3.787142857142857,6.0
4.668571428571428,3.93,6.33
4.478571428571429,4.001428571428572,6.34
3.095714285714286,4.048571428571429,9.0
3.3800000000000003,4.167857142857143,6.67
3.1442857142857146,4.1692857142857145,8.0
4.001428571428571,4.455,9.68
4.572857142857143,4.6692857142857145,6.0
4.715714285714286,4.692142857142857,2.0
5.192857142857143,4.835714285714286,3.33
6.192857142857143,4.644285714285714,6.0
6.4314285714285715,4.905714285714287,2.0
7.048571428571429,5.096428571428572,1.34
7.4314285714285715,5.716428571428572,11.0
7.4314285714285715,6.002142857142857,2.68
6.812857142857142,5.764285714285714,4.0
6.382857142857143,5.787857142857143,2.66
5.954285714285715,6.073571428571428,3.34
5.2871428571428565,5.859285714285714,8.0
4.335714285714285,5.692142857142857,5.0
4.524285714285715,5.977857142857142,7.33
4.05,5.740714285714286,2.0
4.335714285714286,5.574285714285715,1.0
4.24,5.311428571428571,10.33
3.86,4.9071428571428575,8.34
4.717142857142856,5.002142857142857,2.0
5.24,4.787857142857143,4.0
4.715714285714285,4.62,3.68
4.618571428571428,4.3342857142857145,5.0
4.1899999999999995,4.2628571428571425,3.0
5.285714285714286,4.7628571428571425,1.33
6.0,4.93,6.0
5.142857142857143,4.93,6.33
5.0,5.119999999999999,5.0
4.478571428571429,4.597142857142857,6.34
4.9071428571428575,4.762857142857143,5.0
5.192857142857143,4.691428571428572,5.33
3.9071428571428575,4.596428571428572,3.67
3.5728571428571425,4.786428571428572,3.34
4.191428571428571,4.667142857142857,7.33
4.3342857142857145,4.667142857142857,6.0
4.714285714285714,4.596428571428571,4.0
4.714285714285714,4.810714285714285,1.33
5.047142857142857,5.12,9.84
5.381428571428572,4.644285714285715,11.68
5.001428571428572,4.2871428571428565,0.0
5.144285714285714,4.667857142857143,6.67
5.2871428571428565,4.810714285714285,4.66
4.952857142857143,4.833571428571429,2.0
4.428571428571429,4.571428571428571,2.34
5.072857142857144,5.0600000000000005,9.33
6.217142857142856,5.799285714285714,7.33
5.739999999999999,5.3707142857142856,9.32
5.645714285714285,5.3950000000000005,3.0
5.454285714285715,5.3707142857142856,6.33
5.168571428571428,5.060714285714285,1.33
5.312857142857142,4.8707142857142856,4.0
5.24,5.156428571428571,10.0
4.618571428571428,5.417857142857143,5.0
5.95,5.845,7.0
5.425714285714285,5.535714285714286,3.0
5.6642857142857155,5.559285714285714,4.33
5.568571428571429,5.368571428571428,2.0
5.805714285714286,5.559285714285714,3.0
5.901428571428572,5.570714285714286,5.34
5.568571428571429,5.093571428571429,5.0
5.2371428571428575,5.593571428571429,6.67
5.2371428571428575,5.331428571428572,4.0
4.951428571428571,5.307857142857143,3.34
5.047142857142857,5.307857142857143,4.66
4.904285714285714,5.3549999999999995,2.0
4.238571428571428,5.07,1.0
4.238571428571428,4.903571428571429,3.66
4.191428571428572,4.714285714285714,3.34
4.3342857142857145,4.785714285714286,3.33
4.192857142857143,4.5721428571428575,7.33
4.572857142857143,4.8100000000000005,8.0
4.43,4.667142857142857,3.0
3.81,4.024285714285715,3.34
